Numero de documentos del corpus: 3
Palabra: !).        Frec: 1     LogProb: -12.60772047710005
Palabra: !*         Frec: 1     LogProb: -12.60772047710005
Palabra: !+         Frec: 4     LogProb: -11.691429745225896
Palabra: !+(        Frec: 1     LogProb: -12.60772047710005
Palabra: !-         Frec: 1     LogProb: -12.60772047710005
Palabra: !.         Frec: 13    LogProb: -10.661810328044737
Palabra: !..        Frec: 11    LogProb: -10.815961007871996
Palabra: !...       Frec: 7     LogProb: -11.22142611598016
Palabra: !...&      Frec: 0     LogProb: -13.300867657659996
Palabra: !....      Frec: 4     LogProb: -11.691429745225896
Palabra: !.....     Frec: 2     LogProb: -12.202255368991887
Palabra: !......    Frec: 1     LogProb: -12.60772047710005
Palabra: !........... Frec: 0     LogProb: -13.300867657659996
Palabra: !:         Frec: 8     LogProb: -11.103643080323776
Palabra: !:(        Frec: 0     LogProb: -13.300867657659996
Palabra: !:(:(      Frec: 0     LogProb: -13.300867657659996
Palabra: !:)        Frec: 3     LogProb: -11.914573296540105
Palabra: !:).       Frec: 0     LogProb: -13.300867657659996
Palabra: !:)~       Frec: 0     LogProb: -13.300867657659996
Palabra: !:-        Frec: 0     LogProb: -13.300867657659996
Palabra: !:-)       Frec: 0     LogProb: -13.300867657659996
Palabra: !:/        Frec: 0     LogProb: -13.300867657659996
Palabra: !:]        Frec: 0     LogProb: -13.300867657659996
Palabra: !:~)       Frec: 0     LogProb: -13.300867657659996
Palabra: !;         Frec: 5     LogProb: -11.509108188431941
Palabra: !;)        Frec: 2     LogProb: -12.202255368991887
Palabra: !;)#       Frec: 0     LogProb: -13.300867657659996
Palabra: !;)(       Frec: 0     LogProb: -13.300867657659996
Palabra: !;-        Frec: 0     LogProb: -13.300867657659996
Palabra: !;-)       Frec: 0     LogProb: -13.300867657659996
Palabra: !;]        Frec: 1     LogProb: -12.60772047710005
Palabra: !<         Frec: 21    LogProb: -10.20982520430168
Palabra: !=         Frec: 1     LogProb: -12.60772047710005
Palabra: !=(        Frec: 0     LogProb: -13.300867657659996
Palabra: !=)        Frec: 0     LogProb: -13.300867657659996
Palabra: !?         Frec: 43    LogProb: -9.516678023741735
Palabra: !?!        Frec: 16    LogProb: -10.46765431360378
Palabra: !?!?!      Frec: 3     LogProb: -11.914573296540105
Palabra: !?!?(*)-)  Frec: 1     LogProb: -12.60772047710005
Palabra: !?....=)   Frec: 0     LogProb: -13.300867657659996
Palabra: !?:)       Frec: 0     LogProb: -13.300867657659996
Palabra: !?;)       Frec: 0     LogProb: -13.300867657659996
Palabra: !?<        Frec: 0     LogProb: -13.300867657659996
Palabra: !??        Frec: 6     LogProb: -11.354957508604683
Palabra: !???       Frec: 2     LogProb: -12.202255368991887
Palabra: !@         Frec: 0     LogProb: -13.300867657659996
Palabra: ![:        Frec: 0     LogProb: -13.300867657659996
Palabra: !]?        Frec: 1     LogProb: -12.60772047710005
Palabra: !^         Frec: 0     LogProb: -13.300867657659996
Palabra: !^^        Frec: 0     LogProb: -13.300867657659996
Palabra: !{         Frec: 1     LogProb: -12.60772047710005
Palabra: !~!!!!     Frec: 1     LogProb: -12.60772047710005
Palabra: !~*        Frec: 0     LogProb: -13.300867657659996
Palabra: #          Frec: 73    LogProb: -8.996802564455827
Palabra: #$%#       Frec: 1     LogProb: -12.60772047710005
Palabra: #'         Frec: 1     LogProb: -12.60772047710005
Palabra: #?         Frec: 0     LogProb: -13.300867657659996
Palabra: $          Frec: 45    LogProb: -9.472226261170901
Palabra: $!         Frec: 1     LogProb: -12.60772047710005
Palabra: $$         Frec: 9     LogProb: -10.998282564665951
Palabra: $$$        Frec: 3     LogProb: -11.914573296540105
Palabra: $$$$       Frec: 1     LogProb: -12.60772047710005
Palabra: $(         Frec: 2     LogProb: -12.202255368991887
Palabra: $+         Frec: 3     LogProb: -11.914573296540105
Palabra: $+@+!      Frec: 0     LogProb: -13.300867657659996
Palabra: %          Frec: 11    LogProb: -10.815961007871996
Palabra: %-         Frec: 0     LogProb: -13.300867657659996
Palabra: %;)        Frec: 0     LogProb: -13.300867657659996
Palabra: &          Frec: 287   LogProb: -7.63790717752405
Palabra: &#         Frec: 21    LogProb: -10.20982520430168
Palabra: &.         Frec: 0     LogProb: -13.300867657659996
Palabra: &:         Frec: 0     LogProb: -13.300867657659996
Palabra: '          Frec: 2107  LogProb: -5.647372747998743
Palabra: '!         Frec: 1     LogProb: -12.60772047710005
Palabra: '&#        Frec: 0     LogProb: -13.300867657659996
Palabra: ''         Frec: 8     LogProb: -11.103643080323776
Palabra: ''?        Frec: 2     LogProb: -12.202255368991887
Palabra: ''??       Frec: 1     LogProb: -12.60772047710005
Palabra: '++        Frec: 0     LogProb: -13.300867657659996
Palabra: '.         Frec: 10    LogProb: -10.902972384861625
Palabra: '.(:       Frec: 1     LogProb: -12.60772047710005
Palabra: '...       Frec: 1     LogProb: -12.60772047710005
Palabra: '.:/       Frec: 0     LogProb: -13.300867657659996
Palabra: ':         Frec: 0     LogProb: -13.300867657659996
Palabra: ';)        Frec: 0     LogProb: -13.300867657659996
Palabra: '<         Frec: 0     LogProb: -13.300867657659996
Palabra: '?         Frec: 4     LogProb: -11.691429745225896
Palabra: '?(        Frec: 0     LogProb: -13.300867657659996
Palabra: '??        Frec: 2     LogProb: -12.202255368991887
Palabra: (          Frec: 553   LogProb: -6.983702970912712
Palabra: (#         Frec: 0     LogProb: -13.300867657659996
Palabra: ((         Frec: 6     LogProb: -11.354957508604683
Palabra: (((((((((( Frec: 0     LogProb: -13.300867657659996
Palabra: ((:        Frec: 4     LogProb: -11.691429745225896
Palabra: ((:<       Frec: 0     LogProb: -13.300867657659996
Palabra: (+         Frec: 2     LogProb: -12.202255368991887
Palabra: (:         Frec: 158   LogProb: -8.231963455439764
Palabra: (:!        Frec: 2     LogProb: -12.202255368991887
Palabra: (:!!!      Frec: 1     LogProb: -12.60772047710005
Palabra: (:&        Frec: 0     LogProb: -13.300867657659996
Palabra: (:(        Frec: 2     LogProb: -12.202255368991887
Palabra: (:..       Frec: 0     LogProb: -13.300867657659996
Palabra: (::        Frec: 1     LogProb: -12.60772047710005
Palabra: (:<        Frec: 0     LogProb: -13.300867657659996
Palabra: (:?        Frec: 1     LogProb: -12.60772047710005
Palabra: (;         Frec: 31    LogProb: -9.835131754860269
Palabra: (;<        Frec: 1     LogProb: -12.60772047710005
Palabra: (;?        Frec: 0     LogProb: -13.300867657659996
Palabra: (=         Frec: 2     LogProb: -12.202255368991887
Palabra: (?)        Frec: 1     LogProb: -12.60772047710005
Palabra: (@.        Frec: 0     LogProb: -13.300867657659996
Palabra: (^         Frec: 0     LogProb: -13.300867657659996
Palabra: )          Frec: 898   LogProb: -6.499584623188376
Palabra: )!         Frec: 1     LogProb: -12.60772047710005
Palabra: )!!!       Frec: 0     LogProb: -13.300867657659996
Palabra: )&         Frec: 1     LogProb: -12.60772047710005
Palabra: ))         Frec: 23    LogProb: -10.12281382731205
Palabra: )))))))))) Frec: 1     LogProb: -12.60772047710005
Palabra: )-         Frec: 2     LogProb: -12.202255368991887
Palabra: )--        Frec: 0     LogProb: -13.300867657659996
Palabra: ).         Frec: 30    LogProb: -9.86688045317485
Palabra: ).#        Frec: 0     LogProb: -13.300867657659996
Palabra: )..        Frec: 6     LogProb: -11.354957508604683
Palabra: )..*       Frec: 0     LogProb: -13.300867657659996
Palabra: )...       Frec: 4     LogProb: -11.691429745225896
Palabra: )....      Frec: 0     LogProb: -13.300867657659996
Palabra: )...:)     Frec: 0     LogProb: -13.300867657659996
Palabra: ):         Frec: 8     LogProb: -11.103643080323776
Palabra: ):)        Frec: 1     LogProb: -12.60772047710005
Palabra: ):/        Frec: 0     LogProb: -13.300867657659996
Palabra: )=         Frec: 0     LogProb: -13.300867657659996
Palabra: )?         Frec: 7     LogProb: -11.22142611598016
Palabra: )?;)       Frec: 0     LogProb: -13.300867657659996
Palabra: *          Frec: 98    LogProb: -8.705747807525405
Palabra: *$         Frec: 1     LogProb: -12.60772047710005
Palabra: **         Frec: 8     LogProb: -11.103643080323776
Palabra: ***        Frec: 4     LogProb: -11.691429745225896
Palabra: *****      Frec: 2     LogProb: -12.202255368991887
Palabra: ****************** Frec: 1     LogProb: -12.60772047710005
Palabra: ************************* Frec: 1     LogProb: -12.60772047710005
Palabra: ***.       Frec: 1     LogProb: -12.60772047710005
Palabra: *-         Frec: 1     LogProb: -12.60772047710005
Palabra: *-*        Frec: 1     LogProb: -12.60772047710005
Palabra: *.         Frec: 5     LogProb: -11.509108188431941
Palabra: *...       Frec: 1     LogProb: -12.60772047710005
Palabra: *:(        Frec: 0     LogProb: -13.300867657659996
Palabra: *?         Frec: 1     LogProb: -12.60772047710005
Palabra: *~         Frec: 1     LogProb: -12.60772047710005
Palabra: +          Frec: 38    LogProb: -9.63730601153035
Palabra: +!         Frec: 2     LogProb: -12.202255368991887
Palabra: +$         Frec: 2     LogProb: -12.202255368991887
Palabra: +$?        Frec: 0     LogProb: -13.300867657659996
Palabra: ++         Frec: 0     LogProb: -13.300867657659996
Palabra: +??        Frec: 0     LogProb: -13.300867657659996
Palabra: +@         Frec: 0     LogProb: -13.300867657659996
Palabra: -          Frec: 524   LogProb: -7.037469395068372
Palabra: -&         Frec: 2     LogProb: -12.202255368991887
Palabra: -'         Frec: 1     LogProb: -12.60772047710005
Palabra: -(         Frec: 13    LogProb: -10.661810328044737
Palabra: -)?        Frec: 1     LogProb: -12.60772047710005
Palabra: --         Frec: 32    LogProb: -9.804360096193516
Palabra: --&        Frec: 1     LogProb: -12.60772047710005
Palabra: --'        Frec: 0     LogProb: -13.300867657659996
Palabra: ---        Frec: 6     LogProb: -11.354957508604683
Palabra: ---&       Frec: 1     LogProb: -12.60772047710005
Palabra: -.         Frec: 4     LogProb: -11.691429745225896
Palabra: -.-        Frec: 4     LogProb: -11.691429745225896
Palabra: -:-)       Frec: 0     LogProb: -13.300867657659996
Palabra: ->>        Frec: 1     LogProb: -12.60772047710005
Palabra: -????      Frec: 1     LogProb: -12.60772047710005
Palabra: .          Frec: 4444  LogProb: -4.901332509711991
Palabra: .!         Frec: 14    LogProb: -10.592817456557786
Palabra: .!!        Frec: 5     LogProb: -11.509108188431941
Palabra: .!!):      Frec: 1     LogProb: -12.60772047710005
Palabra: .!!<       Frec: 2     LogProb: -12.202255368991887
