Numero de documentos del corpus: 3
Palabra: !).        Frec: 0     LogProb: -13.083599679803529
Palabra: !*         Frec: 0     LogProb: -13.083599679803529
Palabra: !+         Frec: 1     LogProb: -12.390452499243583
Palabra: !+(        Frec: 1     LogProb: -12.390452499243583
Palabra: !-         Frec: 0     LogProb: -13.083599679803529
Palabra: !.         Frec: 9     LogProb: -10.781014586809484
Palabra: !..        Frec: 9     LogProb: -10.781014586809484
Palabra: !...       Frec: 6     LogProb: -11.137689530748215
Palabra: !...&      Frec: 0     LogProb: -13.083599679803529
Palabra: !....      Frec: 3     LogProb: -11.697305318683638
Palabra: !.....     Frec: 0     LogProb: -13.083599679803529
Palabra: !......    Frec: 0     LogProb: -13.083599679803529
Palabra: !........... Frec: 0     LogProb: -13.083599679803529
Palabra: !:         Frec: 1     LogProb: -12.390452499243583
Palabra: !:(        Frec: 0     LogProb: -13.083599679803529
Palabra: !:(:(      Frec: 0     LogProb: -13.083599679803529
Palabra: !:)        Frec: 1     LogProb: -12.390452499243583
Palabra: !:).       Frec: 0     LogProb: -13.083599679803529
Palabra: !:)~       Frec: 0     LogProb: -13.083599679803529
Palabra: !:-        Frec: 0     LogProb: -13.083599679803529
Palabra: !:-)       Frec: 0     LogProb: -13.083599679803529
Palabra: !:/        Frec: 0     LogProb: -13.083599679803529
Palabra: !:]        Frec: 0     LogProb: -13.083599679803529
Palabra: !:~)       Frec: 0     LogProb: -13.083599679803529
Palabra: !;         Frec: 0     LogProb: -13.083599679803529
Palabra: !;)        Frec: 0     LogProb: -13.083599679803529
Palabra: !;)#       Frec: 0     LogProb: -13.083599679803529
Palabra: !;)(       Frec: 0     LogProb: -13.083599679803529
Palabra: !;-        Frec: 0     LogProb: -13.083599679803529
Palabra: !;-)       Frec: 0     LogProb: -13.083599679803529
Palabra: !;]        Frec: 0     LogProb: -13.083599679803529
Palabra: !<         Frec: 0     LogProb: -13.083599679803529
Palabra: !=         Frec: 3     LogProb: -11.697305318683638
Palabra: !=(        Frec: 0     LogProb: -13.083599679803529
Palabra: !=)        Frec: 0     LogProb: -13.083599679803529
Palabra: !?         Frec: 51    LogProb: -9.132355961222101
Palabra: !?!        Frec: 23    LogProb: -9.905545849455583
Palabra: !?!?!      Frec: 11    LogProb: -10.598693030015529
Palabra: !?!?(*)-)  Frec: 0     LogProb: -13.083599679803529
Palabra: !?....=)   Frec: 0     LogProb: -13.083599679803529
Palabra: !?:)       Frec: 0     LogProb: -13.083599679803529
Palabra: !?;)       Frec: 0     LogProb: -13.083599679803529
Palabra: !?<        Frec: 0     LogProb: -13.083599679803529
Palabra: !??        Frec: 1     LogProb: -12.390452499243583
Palabra: !???       Frec: 1     LogProb: -12.390452499243583
Palabra: !@         Frec: 0     LogProb: -13.083599679803529
Palabra: ![:        Frec: 0     LogProb: -13.083599679803529
Palabra: !]?        Frec: 0     LogProb: -13.083599679803529
Palabra: !^         Frec: 2     LogProb: -11.98498739113542
Palabra: !^^        Frec: 2     LogProb: -11.98498739113542
Palabra: !{         Frec: 0     LogProb: -13.083599679803529
Palabra: !~!!!!     Frec: 0     LogProb: -13.083599679803529
Palabra: !~*        Frec: 0     LogProb: -13.083599679803529
Palabra: #          Frec: 92    LogProb: -8.551000186650274
Palabra: #$%#       Frec: 0     LogProb: -13.083599679803529
Palabra: #'         Frec: 0     LogProb: -13.083599679803529
Palabra: #?         Frec: 3     LogProb: -11.697305318683638
Palabra: $          Frec: 32    LogProb: -9.587092118337049
Palabra: $!         Frec: 0     LogProb: -13.083599679803529
Palabra: $$         Frec: 4     LogProb: -11.474161767369429
Palabra: $$$        Frec: 2     LogProb: -11.98498739113542
Palabra: $$$$       Frec: 2     LogProb: -11.98498739113542
Palabra: $(         Frec: 0     LogProb: -13.083599679803529
Palabra: $+         Frec: 0     LogProb: -13.083599679803529
Palabra: $+@+!      Frec: 0     LogProb: -13.083599679803529
Palabra: %          Frec: 9     LogProb: -10.781014586809484
Palabra: %-         Frec: 0     LogProb: -13.083599679803529
Palabra: %;)        Frec: 0     LogProb: -13.083599679803529
Palabra: &          Frec: 248   LogProb: -7.566146783338821
Palabra: &#         Frec: 26    LogProb: -9.7877628137992
Palabra: &.         Frec: 0     LogProb: -13.083599679803529
Palabra: &:         Frec: 0     LogProb: -13.083599679803529
Palabra: '          Frec: 2182  LogProb: -5.395144323253585
Palabra: '!         Frec: 6     LogProb: -11.137689530748215
Palabra: '&#        Frec: 2     LogProb: -11.98498739113542
Palabra: ''         Frec: 0     LogProb: -13.083599679803529
Palabra: ''?        Frec: 0     LogProb: -13.083599679803529
Palabra: ''??       Frec: 0     LogProb: -13.083599679803529
Palabra: '++        Frec: 0     LogProb: -13.083599679803529
Palabra: '.         Frec: 13    LogProb: -10.44454235018827
Palabra: '.(:       Frec: 0     LogProb: -13.083599679803529
Palabra: '...       Frec: 0     LogProb: -13.083599679803529
Palabra: '.:/       Frec: 0     LogProb: -13.083599679803529
Palabra: ':         Frec: 3     LogProb: -11.697305318683638
Palabra: ';)        Frec: 3     LogProb: -11.697305318683638
Palabra: '<         Frec: 0     LogProb: -13.083599679803529
Palabra: '?         Frec: 7     LogProb: -11.004158138123694
Palabra: '?(        Frec: 0     LogProb: -13.083599679803529
Palabra: '??        Frec: 0     LogProb: -13.083599679803529
Palabra: (          Frec: 354   LogProb: -7.2114818903281135
Palabra: (#         Frec: 0     LogProb: -13.083599679803529
Palabra: ((         Frec: 9     LogProb: -10.781014586809484
Palabra: (((((((((( Frec: 3     LogProb: -11.697305318683638
Palabra: ((:        Frec: 1     LogProb: -12.390452499243583
Palabra: ((:<       Frec: 0     LogProb: -13.083599679803529
Palabra: (+         Frec: 0     LogProb: -13.083599679803529
Palabra: (:         Frec: 21    LogProb: -9.992557226445212
Palabra: (:!        Frec: 0     LogProb: -13.083599679803529
Palabra: (:!!!      Frec: 0     LogProb: -13.083599679803529
Palabra: (:&        Frec: 0     LogProb: -13.083599679803529
Palabra: (:(        Frec: 2     LogProb: -11.98498739113542
Palabra: (:..       Frec: 0     LogProb: -13.083599679803529
Palabra: (::        Frec: 0     LogProb: -13.083599679803529
Palabra: (:<        Frec: 0     LogProb: -13.083599679803529
Palabra: (:?        Frec: 0     LogProb: -13.083599679803529
Palabra: (;         Frec: 3     LogProb: -11.697305318683638
Palabra: (;<        Frec: 0     LogProb: -13.083599679803529
Palabra: (;?        Frec: 0     LogProb: -13.083599679803529
Palabra: (=         Frec: 0     LogProb: -13.083599679803529
Palabra: (?)        Frec: 3     LogProb: -11.697305318683638
Palabra: (@.        Frec: 0     LogProb: -13.083599679803529
Palabra: (^         Frec: 3     LogProb: -11.697305318683638
Palabra: )          Frec: 536   LogProb: -6.7976015852946645
Palabra: )!         Frec: 4     LogProb: -11.474161767369429
Palabra: )!!!       Frec: 0     LogProb: -13.083599679803529
Palabra: )&         Frec: 0     LogProb: -13.083599679803529
Palabra: ))         Frec: 5     LogProb: -11.291840210575474
Palabra: )))))))))) Frec: 3     LogProb: -11.697305318683638
Palabra: )-         Frec: 3     LogProb: -11.697305318683638
Palabra: )--        Frec: 0     LogProb: -13.083599679803529
Palabra: ).         Frec: 20    LogProb: -10.039077242080106
Palabra: ).#        Frec: 0     LogProb: -13.083599679803529
Palabra: )..        Frec: 6     LogProb: -11.137689530748215
Palabra: )..*       Frec: 0     LogProb: -13.083599679803529
Palabra: )...       Frec: 6     LogProb: -11.137689530748215
Palabra: )....      Frec: 3     LogProb: -11.697305318683638
Palabra: )...:)     Frec: 0     LogProb: -13.083599679803529
Palabra: ):         Frec: 5     LogProb: -11.291840210575474
Palabra: ):)        Frec: 0     LogProb: -13.083599679803529
Palabra: ):/        Frec: 0     LogProb: -13.083599679803529
Palabra: )=         Frec: 0     LogProb: -13.083599679803529
Palabra: )?         Frec: 0     LogProb: -13.083599679803529
Palabra: )?;)       Frec: 0     LogProb: -13.083599679803529
Palabra: *          Frec: 122   LogProb: -8.271415324431112
Palabra: *$         Frec: 0     LogProb: -13.083599679803529
Palabra: **         Frec: 8     LogProb: -10.88637510246731
Palabra: ***        Frec: 3     LogProb: -11.697305318683638
Palabra: *****      Frec: 0     LogProb: -13.083599679803529
Palabra: ****************** Frec: 0     LogProb: -13.083599679803529
Palabra: ************************* Frec: 0     LogProb: -13.083599679803529
Palabra: ***.       Frec: 0     LogProb: -13.083599679803529
Palabra: *-         Frec: 0     LogProb: -13.083599679803529
Palabra: *-*        Frec: 0     LogProb: -13.083599679803529
Palabra: *.         Frec: 2     LogProb: -11.98498739113542
Palabra: *...       Frec: 0     LogProb: -13.083599679803529
Palabra: *:(        Frec: 0     LogProb: -13.083599679803529
Palabra: *?         Frec: 0     LogProb: -13.083599679803529
Palabra: *~         Frec: 3     LogProb: -11.697305318683638
Palabra: +          Frec: 33    LogProb: -9.557239155187368
Palabra: +!         Frec: 0     LogProb: -13.083599679803529
Palabra: +$         Frec: 0     LogProb: -13.083599679803529
Palabra: +$?        Frec: 0     LogProb: -13.083599679803529
Palabra: ++         Frec: 3     LogProb: -11.697305318683638
Palabra: +??        Frec: 0     LogProb: -13.083599679803529
Palabra: +@         Frec: 0     LogProb: -13.083599679803529
